Team,Player,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Loyola Maryland,Troy Cicero Jr.,,G,18,0,5.8,0.6,1.4,0.385,0.2,0.8,0.286,0.3,0.7,0.5,0.462,0.2,0.4,0.571,0.1,0.2,0.2,0.3,0.2,0.1,0.3,0.3,1.6
Loyola Maryland,Goap Kodi,,F,13,0,4.8,0.5,0.9,0.5,0.0,0.0,,0.5,0.9,0.5,0.5,0.3,0.5,0.571,0.5,1.1,1.5,0.3,0.1,0.2,0.2,0.3,1.2
Loyola Maryland,Samuel Gibbs,,G,20,1,7.6,0.4,0.9,0.389,0.2,0.6,0.364,0.2,0.4,0.429,0.5,0.1,0.1,0.5,0.1,1.3,1.4,0.5,0.4,0.1,0.1,0.4,1.0
Loyola Maryland,Greg Guidinger,,G,8,0,2.3,0.1,0.5,0.25,0.0,0.3,0.0,0.1,0.3,0.5,0.25,0.5,1.0,0.5,0.4,0.1,0.5,0.0,0.0,0.0,0.3,0.0,0.8
Loyola Maryland,Matt Gray,,F,9,0,2.9,0.1,1.1,0.1,0.0,0.3,0.0,0.1,0.8,0.143,0.1,0.4,0.7,0.667,0.0,0.1,0.1,0.1,0.0,0.0,0.3,0.2,0.7
Loyola Maryland,Garrett Brennan,,G,17,0,4.7,0.2,0.8,0.286,0.0,0.2,0.0,0.2,0.6,0.364,0.286,0.0,0.1,0.0,0.3,0.2,0.5,0.2,0.2,0.0,0.3,0.7,0.5
Loyola Maryland,Peter Sposito,,G,9,0,1.4,0.1,0.3,0.333,0.0,0.0,,0.1,0.3,0.333,0.333,0.1,0.1,1.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.3
Navy,Austin Benigni,,G,34,34,33.8,5.6,13.9,0.406,1.0,3.0,0.337,4.6,10.9,0.425,0.442,6.5,7.5,0.863,0.6,2.6,3.3,4.3,0.9,0.2,2.4,2.5,18.8
Navy,Jordan Pennick,,G,34,34,27.3,3.6,9.3,0.39,1.8,5.3,0.346,1.8,4.0,0.449,0.489,1.6,2.2,0.724,0.4,2.6,3.0,1.5,0.5,0.1,1.4,2.3,10.7
Navy,Aidan Kehoe,,C,34,33,29.3,4.1,6.7,0.621,0.0,0.0,,4.1,6.7,0.621,0.621,0.7,2.2,0.333,3.4,5.5,8.9,1.6,0.9,1.1,1.6,1.7,9.0
